image_name,time_for_1_latent,time_for_2_latent,time_for_3_latent,time_for_4_latent,time_for_5_latent,time_for_6_latent,time_for_7_latent,time_for_8_latent,time_for_9_latent,time_for_10_latent,time_for_11_latent,time_for_12_latent
12084,0.4551815986633301,0.41947388648986816,0.4192826747894287,0.41914892196655273,0.42047786712646484,0.41916584968566895,0.41904735565185547,0.41890573501586914,0.41880059242248535,0.4186832904815674,0.4192078113555908,0.418560266494751
236037,0.05867648124694824,0.05875802040100098,0.05926012992858887,0.05854177474975586,0.0583953857421875,0.05853557586669922,0.05876016616821289,0.058113813400268555,0.05801081657409668,0.05818009376525879,0.05788302421569824,0.057949066162109375
108070,0.05762290954589844,0.05792593955993652,0.057657480239868164,0.05748605728149414,0.057386159896850586,0.05730628967285156,0.05728650093078613,0.057262420654296875,0.057100772857666016,0.05699563026428223,0.05689239501953125,0.05697822570800781
219090,0.05760836601257324,0.05776238441467285,0.0574946403503418,0.0574803352355957,0.0572512149810791,0.057256460189819336,0.05717778205871582,0.05709481239318848,0.05717062950134277,0.05699563026428223,0.05683088302612305,0.05709552764892578
170057,0.057509422302246094,0.05747270584106445,0.05753278732299805,0.05758523941040039,0.06326699256896973,0.05731844902038574,0.057198286056518555,0.057343244552612305,0.05710124969482422,0.05690741539001465,0.05686497688293457,0.05679607391357422
376043,0.08965182304382324,0.08958768844604492,0.08942437171936035,0.08936262130737305,0.08930182456970215,0.08921980857849121,0.08901858329772949,0.08906316757202148,0.08907651901245117,0.08891415596008301,0.08881616592407227,0.08884954452514648
58060,0.05777144432067871,0.05771350860595703,0.05764341354370117,0.05757260322570801,0.057502031326293945,0.05772256851196289,0.05739545822143555,0.05724668502807617,0.057367563247680664,0.057076215744018555,0.057086944580078125,0.05713057518005371
351093,0.06006669998168945,0.06001424789428711,0.05996847152709961,0.05989480018615723,0.05969119071960449,0.05975508689880371,0.05971169471740723,0.059571027755737305,0.05950331687927246,0.05943155288696289,0.059346675872802734,0.05980849266052246
123074,0.05753755569458008,0.05775856971740723,0.0576169490814209,0.05752110481262207,0.05741167068481445,0.05742168426513672,0.05721569061279297,0.05707049369812012,0.05729222297668457,0.05704808235168457,0.05710244178771973,0.05700421333312988
78004,0.057656049728393555,0.057764530181884766,0.0578615665435791,0.057593345642089844,0.05768275260925293,0.057370901107788086,0.057257890701293945,0.05720019340515137,0.057209014892578125,0.0570216178894043,0.05716824531555176,0.057274580001831055
300091,0.05761551856994629,0.05768537521362305,0.05781674385070801,0.057589054107666016,0.0574650764465332,0.05738425254821777,0.0573725700378418,0.05730247497558594,0.057108402252197266,0.057090044021606445,0.057009220123291016,0.05699753761291504
167083,0.05755972862243652,0.05745840072631836,0.05798816680908203,0.057366371154785156,0.05726051330566406,0.06380581855773926,0.05729556083679199,0.05704021453857422,0.0572052001953125,0.05697131156921387,0.05708813667297363,0.05682086944580078
89072,0.05944943428039551,0.0595705509185791,0.0594174861907959,0.059298038482666016,0.05951333045959473,0.059128761291503906,0.05900001525878906,0.059119224548339844,0.0589296817779541,0.05888724327087402,0.05875229835510254,0.05867886543273926
175043,0.05807900428771973,0.057762861251831055,0.05756688117980957,0.05754542350769043,0.057485103607177734,0.05740761756896973,0.05727124214172363,0.05733513832092285,0.05710887908935547,0.057120323181152344,0.05716681480407715,0.0569462776184082
189080,0.057486534118652344,0.05755901336669922,0.05738210678100586,0.05725812911987305,0.057224273681640625,0.05706357955932617,0.05705666542053223,0.05721545219421387,0.05681896209716797,0.05688738822937012,0.05686616897583008,0.05668926239013672
126007,0.0573725700378418,0.057502031326293945,0.057358503341674805,0.05721259117126465,0.057132720947265625,0.05712723731994629,0.05707526206970215,0.05688285827636719,0.05675959587097168,0.056777238845825195,0.056713104248046875,0.05661273002624512
3096,0.057222604751586914,0.057245492935180664,0.057225942611694336,0.05717635154724121,0.05699324607849121,0.05696392059326172,0.05696749687194824,0.056899309158325195,0.05681443214416504,0.05668330192565918,0.05660605430603027,0.05658555030822754
208001,0.05763697624206543,0.05768418312072754,0.05760025978088379,0.057482004165649414,0.0574345588684082,0.057442665100097656,0.057291507720947266,0.057234764099121094,0.0572056770324707,0.05707955360412598,0.056963443756103516,0.05693411827087402
