image_name,time_for_1_latent,time_for_2_latent,time_for_3_latent,time_for_4_latent,time_for_5_latent,time_for_6_latent,time_for_7_latent,time_for_8_latent,time_for_9_latent,time_for_10_latent,time_for_11_latent,time_for_12_latent
12084,0.8160991668701172,0.794116735458374,0.7967548370361328,0.7913422584533691,0.7976391315460205,0.7941579818725586,0.7894256114959717,0.8034560680389404,0.8799703121185303,0.7901358604431152,0.7955515384674072,0.7978627681732178
236037,0.6870205402374268,0.6853091716766357,0.6861851215362549,0.6826691627502441,0.6965062618255615,0.6838326454162598,0.6856563091278076,0.6939823627471924,0.6923444271087646,0.6827473640441895,0.6827585697174072,0.6781067848205566
108070,0.620995044708252,0.6249840259552002,0.6242465972900391,0.6129822731018066,0.6239604949951172,0.7216637134552002,0.6147379875183105,0.6165552139282227,0.6171472072601318,0.6725354194641113,0.6131317615509033,0.6105146408081055
219090,0.6557962894439697,0.5517239570617676,0.5530791282653809,0.6443779468536377,0.6204044818878174,0.5614209175109863,0.547339677810669,0.5487070083618164,0.5588183403015137,0.54933762550354,0.5496094226837158,0.5459723472595215
170057,0.5535049438476562,0.5536472797393799,0.5569305419921875,0.551008939743042,0.6611161231994629,0.5540790557861328,0.6000866889953613,0.5595662593841553,0.550673246383667,0.5508875846862793,0.5480101108551025,0.5507717132568359
376043,0.5745933055877686,0.5602185726165771,0.5595333576202393,0.5597879886627197,0.5699963569641113,0.5621733665466309,0.5593602657318115,0.5544033050537109,0.5545804500579834,0.5605161190032959,0.5557715892791748,0.5561301708221436
58060,0.5498242378234863,0.5558607578277588,0.5502817630767822,0.55238938331604,0.5479772090911865,0.6583468914031982,0.596672773361206,0.5515275001525879,0.5465302467346191,0.5471875667572021,0.5444555282592773,0.5421483516693115
351093,0.5495738983154297,0.6093299388885498,0.6489584445953369,0.5437278747558594,0.6315915584564209,0.5544443130493164,0.5417168140411377,0.5471410751342773,0.5415825843811035,0.5436038970947266,0.538870096206665,0.5384426116943359
123074,0.5287988185882568,0.5325708389282227,0.5308568477630615,0.5719993114471436,0.5358409881591797,0.6255912780761719,0.5353837013244629,0.5339066982269287,0.5387871265411377,0.5341930389404297,0.5304980278015137,0.5281879901885986
78004,0.5448818206787109,0.5503854751586914,0.5433826446533203,0.5454730987548828,0.5471417903900146,0.5452656745910645,0.5595612525939941,0.5409786701202393,0.5482358932495117,0.5406880378723145,0.5365548133850098,0.5354709625244141
