lr,batch_size,hidden_size,iter_fc,epoch,train_loss,val_loss,phase
0.001,16,64,16,8,0.3488565896451473,0.3949343712255359,tune
0.001,16,64,16,9,0.33567444848162786,0.35355756618082523,tune
0.001,16,64,16,10,0.30049183538449664,0.35132680505514147,tune
0.001,16,64,16,11,0.2685913624614477,0.2582997420988977,tune
0.001,16,64,16,12,0.19622225398996046,0.1699817927926779,tune
0.001,16,64,16,13,0.15963157835815633,0.30648179672658443,tune
0.001,16,64,16,14,0.17978373936776604,0.12309656154364347,tune
0.001,16,64,16,15,0.11785362895578146,0.12720686059445144,tune
0.001,16,64,16,16,0.11785362895578146,0.12720686059445144,tune
0.001,16,64,16,17,0.12414511563522475,0.1371848640963435,tune
0.001,16,64,16,18,0.10370659540806498,0.08863725570961833,tune
0.001,16,64,16,19,0.09955885610410145,0.07168140141293407,tune
0.001,16,64,16,20,0.07598608814179897,0.06745855831541121,tune
0.001,16,64,16,21,0.07065370632335544,0.09577840244397522,tune
0.001,16,64,16,22,0.10790545223014696,0.06152877380140126,tune
0.001,16,64,16,23,0.07946030224939542,0.06575068715959788,tune
0.001,16,64,16,24,0.07258517056836614,0.056791211301460864,tune
0.001,16,64,16,25,0.07585305353360516,0.07379369461908937,tune
0.001,16,64,16,26,0.06253644903722619,0.06358090187422931,tune
0.001,16,64,16,27,0.07202593013511173,0.06181461198721081,tune
0.001,16,64,16,28,0.07147451614162752,0.04878005637321621,tune
0.001,16,64,16,29,0.049880718403894984,0.06510312679223716,tune
0.001,16,64,16,30,0.06544952621683478,0.13938131844624876,tune
0.001,16,64,16,31,0.06739783551211335,0.060932862590998414,tune
0.001,16,64,16,32,0.05905090148294611,0.06460550098214299,tune
0.001,16,64,16,33,0.06207118987904063,0.06430340390652418,tune

