image,iter_1_total,iter_2_total,iter_3_total,iter_4_total,iter_5_total,iter_6_total,iter_7_total,iter_8_total,iter_9_total,iter_10_total,iter_11_total,iter_12_total,iter_13_total,iter_14_total,iter_15_total,iter_16_total
19021,0.04033660888671875,0.06872725486755371,0.09668421745300293,0.12482452392578124,0.15288424491882324,0.18093585968017578,0.20887970924377441,0.23694300651550293,0.26505541801452637,0.2932636737823487,0.31928467750549316,0.34403371810913086,0.3688552379608155,0.39388608932495117,0.4187126159667968,0.4438440799713134
175032,0.04320383071899414,0.07249689102172852,0.1015157699584961,0.12934398651123047,0.15488052368164062,0.18050909042358398,0.20630526542663574,0.23218560218811035,0.257859468460083,0.28355312347412115,0.30913257598876953,0.33495068550109863,0.36084961891174316,0.386899471282959,0.4128313064575195,0.4386193752288819
126007,0.042241573333740234,0.07081484794616699,0.09902763366699219,0.12735533714294434,0.15571260452270508,0.18124628067016602,0.20637726783752441,0.23151230812072757,0.25673413276672363,0.28204536437988276,0.3072340488433838,0.33229804039001465,0.3578975200653076,0.3836221694946289,0.40883612632751465,0.4341580867767334
87046,0.04057049751281738,0.06975746154785158,0.09852170944213867,0.12726616859436035,0.15604448318481445,0.18479418754577637,0.21352887153625488,0.24163603782653803,0.26755690574645996,0.29300212860107416,0.3186213970184326,0.344343900680542,0.37001872062683105,0.3956871032714844,0.4211282730102539,0.44677186012268066
78004,0.041256189346313484,0.07044839859008789,0.0992591381072998,0.12740612030029297,0.15335774421691895,0.1790609359741211,0.2044985294342041,0.23028802871704104,0.2557828426361084,0.2812952995300293,0.30680418014526367,0.3324446678161621,0.35817694664001465,0.3841092586517334,0.4098062515258789,0.43555140495300293
54082,0.04145050048828125,0.07049322128295898,0.09934282302856445,0.12818694114685059,0.15488553047180176,0.18038177490234375,0.20578980445861816,0.23140740394592288,0.2570178508758545,0.2827937602996826,0.30855631828308105,0.33431124687194824,0.3598930835723877,0.3856074810028076,0.411167860031128,0.43722748756408686
119082,0.04140615463256836,0.07023644447326662,0.09916090965270996,0.12751460075378418,0.15280961990356445,0.17770838737487793,0.2028138637542725,0.22774529457092285,0.2528409957885742,0.2776811122894287,0.30283784866333013,0.32802367210388184,0.3530580997467041,0.37821078300476074,0.40317416191101074,0.42827916145324696
241004,0.04036831855773926,0.06871318817138672,0.09681868553161621,0.12479829788208008,0.15283894538879395,0.17933297157287598,0.20416808128356936,0.22890782356262204,0.25365519523620605,0.2785930633544922,0.3035094738006592,0.3283970355987549,0.3537869453430176,0.37892913818359375,0.404047966003418,0.42909407615661627
163085,0.04046511650085449,0.06892085075378418,0.0968942642211914,0.12487626075744628,0.15044379234313965,0.1753547191619873,0.20052671432495117,0.22569084167480466,0.2506234645843506,0.27609777450561523,0.3012735843658447,0.32620668411254883,0.3511619567871094,0.3761436939239502,0.4009442329406739,0.42571401596069336
65033,0.040357351303100586,0.06858539581298828,0.09508228302001955,0.12153315544128418,0.14789652824401855,0.17437577247619632,0.20055723190307617,0.22656798362731936,0.2525746822357178,0.27855086326599127,0.3047001361846924,0.3307929039001465,0.35699582099914556,0.38306331634521484,0.4078845977783203,0.43266057968139654
42012,0.04126381874084473,0.07030248641967773,0.09897255897521973,0.12783384323120117,0.1565563678741455,0.18516802787780762,0.21394896507263186,0.24329209327697754,0.27190351486206055,0.30050086975097656,0.32603120803833013,0.3514432907104492,0.37692809104919434,0.4026777744293213,0.4281935691833496,0.4537661075592041
108070,0.0408782958984375,0.06951546669006348,0.09768080711364746,0.12587904930114746,0.15420341491699222,0.1824305057525635,0.21023440361022952,0.23537468910217282,0.2602696418762207,0.2853250503540039,0.3100168704986572,0.3349437713623047,0.36011838912963867,0.3853511810302734,0.41039872169494634,0.43532633781433105
108082,0.04065442085266113,0.06911683082580566,0.09715986251831055,0.12452435493469238,0.14976263046264648,0.17454195022583008,0.19962072372436523,0.22440767288208008,0.24913740158081055,0.27381110191345215,0.2988777160644532,0.3239011764526367,0.3489573001861572,0.3739912509918213,0.3987908363342285,0.42362523078918457
182053,0.041213035583496094,0.06986403465270996,0.0980689525604248,0.12624597549438477,0.15434932708740234,0.1825089454650879,0.21069097518920898,0.23635339736938477,0.26129269599914556,0.28646206855773926,0.31151366233825684,0.3365628719329834,0.3618390560150147,0.3872697353363037,0.41287088394165045,0.43784427642822266
175043,0.04161262512207031,0.07054376602172852,0.09888815879821777,0.12720584869384766,0.1554100513458252,0.18076467514038086,0.20569539070129397,0.23071455955505368,0.2558438777923584,0.2807657718658448,0.30583190917968756,0.33088111877441406,0.35614705085754395,0.3816065788269043,0.406649112701416,0.4317646026611328
101085,0.04184579849243164,0.07118821144104004,0.10012841224670412,0.12935400009155273,0.15825200080871582,0.18714070320129395,0.21605086326599124,0.24490046501159662,0.27373266220092773,0.30278515815734863,0.33017730712890625,0.3554389476776123,0.3807315826416015,0.40625905990600586,0.43204832077026367,0.457603931427002
376043,0.04119515419006348,0.07020688056945801,0.09885096549987793,0.12749457359313965,0.15630745887756348,0.1847195625305176,0.21309447288513184,0.24126362800598145,0.2695019245147705,0.295635461807251,0.32103443145751953,0.3463428020477295,0.37188553810119634,0.39751505851745605,0.42342400550842285,0.4490618705749511
43074,0.04031729698181152,0.0688331127166748,0.0968167781829834,0.12484717369079588,0.15283966064453125,0.18092107772827148,0.20726704597473142,0.23213648796081543,0.2571227550506592,0.28209519386291504,0.306926965713501,0.33194875717163086,0.35692977905273443,0.38194775581359863,0.40669751167297363,0.43146491050720215
304074,0.04125070571899414,0.07028722763061523,0.09816956520080566,0.12384414672851562,0.14938664436340332,0.17487859725952146,0.2003617286682129,0.2259988784790039,0.25163888931274414,0.27718448638916016,0.3028874397277832,0.32855749130249023,0.3543572425842285,0.3801586627960205,0.40601515769958496,0.43164253234863276
14037,0.04076790809631348,0.06934523582458495,0.09749794006347658,0.12565994262695312,0.15378355979919434,0.1819286346435547,0.21005678176879886,0.23822498321533203,0.2667570114135742,0.2926969528198242,0.31748533248901367,0.34378719329833984,0.3690319061279297,0.39434051513671875,0.4197654724121094,0.44473242759704595
62096,0.04020261764526367,0.06870794296264648,0.09692049026489258,0.1252889633178711,0.1535329818725586,0.18159365653991702,0.20933270454406738,0.23712205886840818,0.2648751735687256,0.29279017448425293,0.32055211067199707,0.34845876693725586,0.37645721435546875,0.4018070697784424,0.4266362190246582,0.45156383514404297
291000,0.04091358184814453,0.06989836692810059,0.09809088706970215,0.1262989044189453,0.15437817573547363,0.18244218826293945,0.21045780181884766,0.2385718822479248,0.26438045501708984,0.28922057151794434,0.3142516613006592,0.33978939056396484,0.3651752471923828,0.3911094665527344,0.41617608070373535,0.44146966934204107
295087,0.04220747947692871,0.07121396064758301,0.09927225112915039,0.1273484230041504,0.15531563758850098,0.18324732780456543,0.2108008861541748,0.23830842971801758,0.2658824920654297,0.2933683395385742,0.3189551830291748,0.3442671298980713,0.37004804611206055,0.3957691192626953,0.4209964275360108,0.4463217258453369
304034,0.040548086166381836,0.06941866874694824,0.09766817092895508,0.1258077621459961,0.15401744842529297,0.1822309494018555,0.21045970916748047,0.2387075424194336,0.2669174671173095,0.29505157470703125,0.3230700492858886,0.34845209121704107,0.37338829040527344,0.39869523048400873,0.42401933670043945,0.44917941093444824
208001,0.04157567024230957,0.07064461708068848,0.09949970245361328,0.1281719207763672,0.15699267387390137,0.18567371368408203,0.21439242362976074,0.24313855171203613,0.27191972732543945,0.2991471290588379,0.3243222236633301,0.35026907920837397,0.3761274814605713,0.40162062644958496,0.4271171092987061,0.4527826309204102
296059,0.04045701026916504,0.06923556327819824,0.09760117530822754,0.12604498863220215,0.15464138984680173,0.18035578727722168,0.20535135269165036,0.23085331916809082,0.2560000419616699,0.2809286117553711,0.3059217929840088,0.33107781410217285,0.3566453456878662,0.3819887638092041,0.4070761203765869,0.4321937561035156
55073,0.04149341583251953,0.07066082954406738,0.09746360778808594,0.12404251098632814,0.15066933631896973,0.17734885215759277,0.20370912551879883,0.2300083637237549,0.25621795654296875,0.283337116241455,0.31002593040466314,0.33553647994995117,0.361142635345459,0.3869283199310303,0.4127678871154785,0.43821644783020014
167083,0.04174065589904785,0.07099103927612305,0.09982442855834961,0.12868046760559082,0.1575314998626709,0.18601298332214355,0.21441149711608887,0.24284958839416504,0.2712533473968506,0.29699230194091797,0.3225221633911133,0.34781670570373535,0.37387967109680176,0.39966869354248047,0.42495870590209966,0.45060038566589355
306005,0.04031515121459961,0.06881046295166016,0.09683966636657715,0.12500762939453125,0.15301346778869632,0.1810290813446045,0.20882511138916016,0.23407745361328122,0.25898861885070806,0.2838170528411865,0.3086595535278321,0.33384871482849127,0.3587381839752197,0.38372159004211426,0.40874409675598145,0.43367528915405273
