image,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16
101085_padded,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255,2.1135026613871255
101085_padded,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436,2.1774680614471436
101087_padded,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341,1.98527995745341
102061_padded,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325,1.9201892217000325
103070_padded,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427,2.2165891329447427
105025_padded,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622,1.871974229812622
106024_padded,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166,1.960054874420166
108005_padded,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584,2.0587003231048584
108070_padded,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054,1.9259549776713054
108082_padded,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395,2.064114729563395
109053_padded,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137,2.2501025199890137
119082_padded,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592,2.155211925506592
12084_padded,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643,2.1181576251983643
123074_padded,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513,2.2189380327860513
126007_padded,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053,2.2076985836029053
130026_padded,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657,2.3751045862833657
134035_padded,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111,2.104229291280111
