image,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16
101085,0.6860108375549316,1.2248456478118896,1.7245538234710691,2.1817581653594966,2.633831024169922,3.0694959163665767,3.524976253509521,3.9834198951721187,4.414693117141724,4.903788089752197,5.37515664100647,5.8073885440826425,6.279651641845702,6.821531534194946,7.393538951873778,8.146001100540161
101087,0.6442582607269287,1.2379491329193115,1.6762878894805908,2.1488819122314453,2.6024532318115234,3.0249271392822266,3.5226852893829346,3.9810729026794434,4.439245700836182,4.90028977394104,5.338409423828125,5.7653560638427725,6.187319993972777,6.633940696716309,7.0844881534576425,7.5781311988830575
102061,0.5974996089935303,1.1344947814941406,1.6444404125213623,2.1244866847991943,2.6023128032684326,3.031468629837036,3.468132972717285,3.9899168014526367,4.527299642562866,5.046679973602295,5.5278756618499765,5.974648714065553,6.39582633972168,6.841329097747803,7.320297718048097,7.8698177337646475
103070,0.5636003017425537,1.0827999114990234,1.5451002120971682,2.0225441455841064,2.530897855758667,2.958335876464844,3.371668815612793,3.8510258197784415,4.288228511810304,4.70834755897522,5.217284440994263,5.68213415145874,6.1890387535095215,6.624646425247192,7.088413715362549,7.509813070297241
105025,0.6243009567260742,1.179619312286377,1.6142213344573977,2.06270170211792,2.5340895652771,3.01353120803833,3.483015298843384,3.905535697937012,4.3505334854125985,4.770015239715576,5.19885778427124,5.654254198074341,6.076066732406616,6.517945289611816,6.998458862304688,7.4582014083862305
106024,0.6200363636016846,1.150209665298462,1.684345245361328,2.1442222595214844,2.6050591468811035,3.0332765579223637,3.4776117801666264,3.9157001972198486,4.387414216995238,4.8516180515289316,5.464815855026245,6.0340635776519775,6.638472080230713,7.148770570755005,7.850715160369872,8.462558746337889
108005,0.5673484802246094,1.064854383468628,1.5295517444610596,2.0242221355438232,2.4963154792785645,2.924733161926269,3.416926145553589,3.8588600158691406,4.320301294326781,4.854483366012573,5.2757601737976065,5.710357427597046,6.2034051418304434,6.713066577911378,7.196123123168945,7.675601482391357
108070,0.6371829509735107,1.2136311531066897,1.6766257286071775,2.1061453819274902,2.5525174140930176,3.0146586894989014,3.441767930984497,3.870774030685425,4.320162773132323,4.773448705673218,5.325994491577148,5.757657766342162,6.1872501373291025,6.6565489768981925,7.084378480911255,7.507403135299683
108082,0.5804553031921387,1.0541450977325442,1.500354290008545,1.9235656261444087,2.3499619960784908,2.829801082611084,3.273860454559326,3.772692680358887,4.3414812088012695,4.774792432785034,5.2164433002471915,5.686346292495728,6.158293724060059,6.594102382659912,7.026595592498778,7.509955406188965
109053,0.5569941997528076,1.073922634124756,1.5202648639678955,2.024564504623413,2.5654876232147217,2.989692211151123,3.4160234928131104,3.8905768394470215,4.355189323425293,4.787205457687378,5.226289987564087,5.649796485900879,6.152517318725586,6.574658155441284,7.060866594314575,7.589107036590576
