image,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16
101085_padded,0.3887786070505778,0.7953792413075765,1.3749582767486572,1.7852392196655273,2.1141812801361084,2.440579573313395,2.8004395167032876,3.1350930531819663,3.450739622116089,3.779847780863444,4.093417167663574,4.405232906341553,4.707961002985637,5.062300443649292,5.378132502237956,5.722525914510091
101085_padded,0.3981164296468099,0.7665321826934814,1.1800309816996257,1.6230401198069255,1.976353406906128,2.3199541568756104,2.71645450592041,3.1113526026407876,3.491079489390055,3.860161542892456,4.179747978846232,4.50395925839742,4.835644165674846,5.191034237543742,5.53340204556783,5.881844679514567
101087_padded,0.37226112683614093,0.7474276224772135,1.0954724947611492,1.410387913386027,1.734498659769694,2.086360136667887,2.415070056915283,2.7766385873158774,3.142220894495646,3.4592881202697754,3.8310658931732178,4.192471186319987,4.583005587259929,4.9528530438741045,5.35750150680542,5.711142063140869
102061_padded,0.39209826787312824,0.761999766031901,1.0806721051534016,1.395551602045695,1.7607660293579102,2.2106429735819497,2.550387144088745,2.880873123804728,3.196224848429362,3.5385024547576904,3.8792112668355307,4.2386542956034345,4.566612482070923,4.919362386067708,5.349708477656047,5.684435844421387
103070_padded,0.3968171278635661,0.7734740575154623,1.2385574181874592,1.6112637519836426,1.951943079630534,2.296052932739258,2.6203556060791016,2.9849043687184653,3.409640073776245,3.75731627146403,4.090511639912923,4.429112672805786,4.786216815312703,5.124277273813884,5.45650839805603,5.793466726938884
105025_padded,0.3392326831817627,0.7081319491068522,1.1306219895680745,1.56031068166097,1.918717861175537,2.2447890440622964,2.5947478612264,2.9249738852183023,3.2455212275187173,3.5894792079925537,4.031109015146892,4.36695917447408,4.731326500574748,5.064651091893514,5.391409158706665,5.7388739585876465
106024_padded,0.3517006238301595,0.6952069600423177,1.0749200979868572,1.5757473309834797,1.934453010559082,2.2571284770965576,2.5850937366485596,2.9259111881256104,3.247612714767456,3.607338825861613,4.063980897267659,4.440396547317505,4.7926225662231445,5.1482969125111895,5.5076877276102705,5.825772682825725
108005_padded,0.36312007904052734,0.7118285497029623,1.0880409876505535,1.61567489306132,1.9898784160614014,2.325373649597168,2.729389031728109,3.087125619252523,3.4366461435953775,3.8595329920450845,4.205329974492391,4.548020442326863,4.8978555997212725,5.228038311004639,5.544077793757121,5.893670082092285
108070_padded,0.3452465534210205,0.7383506298065186,1.086435874303182,1.5806172688802083,1.9145094553629558,2.2558651765187583,2.5760809580485025,2.8855931758880615,3.204164425532023,3.552964766820272,3.9825703303019204,4.290827512741089,4.60723090171814,4.960165023803711,5.302520275115967,5.66128396987915
108082_padded,0.3626092274983724,0.7369697093963623,1.1402977307637532,1.7171538670857747,2.1068519751230874,2.5581955115000405,2.9250315030415854,3.3450769583384194,3.697343111038208,4.138237078984578,4.480502128601074,4.8385850588480634,5.205362796783447,5.562601486841838,5.912930885950725,6.313060363133748
109053_padded,0.4379691282908122,0.8146983782450358,1.3332516352335613,1.7724230289459229,2.1351329485575357,2.4952526092529297,2.880703926086426,3.307889382044474,3.755919933319092,4.1180291175842285,4.488980213801066,4.866861661275228,5.3027721246083575,5.669737100601196,6.035404443740845,6.410861889521281
