image,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16
101085.npz,0.00988459587097168,0.012555360794067383,0.014791250228881836,0.017354249954223633,0.019578218460083008,0.021808862686157227,0.02405548095703125,0.02625441551208496,0.028429746627807617,0.030735254287719727,0.03288578987121582,0.035019874572753906,0.03735494613647461,0.03983950614929199,0.04263019561767578,0.0451352596282959
101087.npz,0.011220455169677734,0.014369964599609375,0.016904592514038086,0.019375324249267578,0.021463871002197266,0.02380228042602539,0.026895999908447266,0.029381990432739258,0.031941890716552734,0.03446316719055176,0.036785125732421875,0.03891110420227051,0.0414280891418457,0.0437014102935791,0.046157121658325195,0.04813551902770996
102061.npz,0.009617328643798828,0.012010812759399414,0.014033317565917969,0.016077518463134766,0.018147945404052734,0.020232200622558594,0.0222628116607666,0.024298906326293945,0.026349306106567383,0.028393030166625977,0.0304107666015625,0.03243374824523926,0.03461456298828125,0.036763668060302734,0.03898954391479492,0.04100632667541504
103070.npz,0.009448051452636719,0.011803388595581055,0.013745784759521484,0.015668392181396484,0.01770162582397461,0.019820213317871094,0.021867036819458008,0.02393651008605957,0.025973081588745117,0.02789473533630371,0.030022382736206055,0.03193855285644531,0.03400921821594238,0.036199331283569336,0.03811383247375488,0.04005312919616699
105025.npz,0.009566783905029297,0.011939287185668945,0.014107465744018555,0.016171693801879883,0.018183231353759766,0.020381450653076172,0.02250075340270996,0.024599552154541016,0.02675938606262207,0.028699636459350586,0.030749082565307617,0.03286552429199219,0.034820556640625,0.0368809700012207,0.038832902908325195,0.040873050689697266
106024.npz,0.009727239608764648,0.012343168258666992,0.014429092407226562,0.01650071144104004,0.01856851577758789,0.020662546157836914,0.02278423309326172,0.02487349510192871,0.027132511138916016,0.02997422218322754,0.03204345703125,0.034853219985961914,0.036952972412109375,0.039295196533203125,0.04135775566101074,0.04342293739318848
108005.npz,0.010029077529907227,0.01276850700378418,0.015114068984985352,0.01758432388305664,0.020100831985473633,0.022557735443115234,0.025031566619873047,0.027489662170410156,0.029927730560302734,0.03237199783325195,0.0348820686340332,0.03734469413757324,0.039737701416015625,0.042258262634277344,0.04469466209411621,0.04712057113647461
108070.npz,0.010011434555053711,0.012620687484741211,0.014752864837646484,0.016930580139160156,0.019188404083251953,0.02138376235961914,0.023700237274169922,0.025983810424804688,0.028275251388549805,0.030552387237548828,0.03266167640686035,0.0348200798034668,0.037007808685302734,0.03939652442932129,0.04152512550354004,0.04360079765319824
108082.npz,0.009633541107177734,0.012079238891601562,0.014132976531982422,0.01619577407836914,0.01845264434814453,0.020607709884643555,0.022722959518432617,0.024821043014526367,0.026863813400268555,0.028903722763061523,0.031168699264526367,0.03329658508300781,0.035466670989990234,0.037807464599609375,0.03986072540283203,0.04191279411315918
109053.npz,0.009577274322509766,0.011920452117919922,0.014054536819458008,0.016057252883911133,0.018052339553833008,0.02013397216796875,0.022127628326416016,0.024108171463012695,0.026139259338378906,0.028111696243286133,0.030174732208251953,0.03224921226501465,0.03421783447265625,0.03646087646484375,0.03901553153991699,0.040985822677612305
119082.npz,0.010028600692749023,0.012830018997192383,0.015702009201049805,0.01803421974182129,0.02033209800720215,0.02249431610107422,0.024662017822265625,0.0268552303314209,0.029184818267822266,0.03131866455078125,0.03363204002380371,0.035881757736206055,0.03812050819396973,0.040488243103027344,0.042672157287597656,0.04500222206115723
12084.npz,0.009761333465576172,0.012302398681640625,0.014525413513183594,0.016613006591796875,0.01867532730102539,0.02080988883972168,0.023145198822021484,0.025523662567138672,0.027734994888305664,0.029959678649902344,0.03244948387145996,0.03490257263183594,0.0370945930480957,0.03953695297241211,0.0417330265045166,0.043988943099975586
123074.npz,0.010453939437866211,0.013472318649291992,0.015949487686157227,0.0185091495513916,0.02112126350402832,0.023660659790039062,0.026251792907714844,0.028787851333618164,0.031363487243652344,0.033952951431274414,0.03646516799926758,0.039011478424072266,0.04158639907836914,0.04436206817626953,0.04677724838256836,0.04932975769042969
126007.npz,0.010651588439941406,0.013153076171875,0.015291929244995117,0.01737046241760254,0.019833087921142578,0.022322654724121094,0.02482914924621582,0.027314424514770508,0.02979278564453125,0.032160043716430664,0.03454160690307617,0.03687000274658203,0.039109230041503906,0.0417323112487793,0.04385828971862793,0.04602336883544922
130026.npz,0.009665966033935547,0.01223611831665039,0.014451265335083008,0.016528844833374023,0.01868295669555664,0.020915508270263672,0.023036479949951172,0.025394439697265625,0.027540206909179688,0.029914379119873047,0.032141685485839844,0.03425335884094238,0.036420345306396484,0.038863182067871094,0.04117393493652344,0.04332137107849121
134035.npz,0.009632587432861328,0.01289987564086914,0.015036582946777344,0.017409324645996094,0.019547462463378906,0.021685123443603516,0.023982763290405273,0.02612471580505371,0.028380393981933594,0.03052067756652832,0.032672882080078125,0.03484058380126953,0.03702092170715332,0.039290428161621094,0.04145002365112305,0.0437932014465332
14037.npz,0.009773015975952148,0.012346982955932617,0.014472246170043945,0.01666092872619629,0.01878976821899414,0.020924091339111328,0.023036479949951172,0.02518749237060547,0.027508020401000977,0.02972888946533203,0.03183746337890625,0.03479886054992676,0.03701472282409668,0.03940749168395996,0.0420689582824707,0.04428863525390625
143090.npz,0.010565757751464844,0.013004541397094727,0.015096426010131836,0.017179250717163086,0.01925373077392578,0.0214383602142334,0.023576974868774414,0.02568197250366211,0.027832984924316406,0.030489683151245117,0.032568931579589844,0.03470945358276367,0.036806344985961914,0.038996219635009766,0.041098594665527344,0.04316878318786621
145086.npz,0.009728193283081055,0.012274980545043945,0.014460325241088867,0.016618013381958008,0.01879596710205078,0.02094411849975586,0.023068904876708984,0.025175809860229492,0.027326107025146484,0.029651165008544922,0.03181910514831543,0.03393912315368652,0.036087751388549805,0.03840065002441406,0.040506601333618164,0.04255533218383789
147091.npz,0.010156869888305664,0.012733221054077148,0.014991283416748047,0.017194509506225586,0.019342660903930664,0.02152872085571289,0.023651838302612305,0.025791168212890625,0.028021574020385742,0.03050851821899414,0.03301429748535156,0.035515785217285156,0.03803730010986328,0.04076814651489258,0.043274879455566406,0.045403242111206055
148026.npz,0.010108709335327148,0.012574434280395508,0.014747858047485352,0.016931533813476562,0.019004344940185547,0.02112269401550293,0.023160219192504883,0.025170326232910156,0.027185916900634766,0.029314279556274414,0.03132987022399902,0.03336381912231445,0.035375356674194336,0.037496089935302734,0.03952503204345703,0.04174613952636719
148089.npz,0.009706258773803711,0.012642383575439453,0.01511383056640625,0.017586708068847656,0.020012855529785156,0.022451400756835938,0.024885892868041992,0.027323007583618164,0.02990412712097168,0.03234457969665527,0.03477048873901367,0.03732180595397949,0.039783477783203125,0.04251718521118164,0.044960737228393555,0.04745006561279297
