image,iter_1_total,iter_2_total,iter_3_total,iter_4_total,iter_5_total,iter_6_total,iter_7_total,iter_8_total,iter_9_total,iter_10_total,iter_11_total,iter_12_total,iter_13_total,iter_14_total,iter_15_total,iter_16_total
241004_padded,3.4737517833709717,3.9076069990793862,4.342427174250284,5.105765342712402,5.768018166224161,6.463993310928345,7.12295420964559,7.708212614059448,8.213283697764078,8.6590096950531,9.048155148824057,9.47646156946818,10.156107743581137,10.7497931321462,11.337260723114014,11.978024005889893
126007_padded,2.5799859364827475,2.9442026615142822,3.3960949579874677,3.914288282394409,4.264632066090902,4.639745712280273,4.988668362299601,5.342051903406778,5.682398080825806,6.0678037007649746,6.500156005223592,6.829680919647217,7.175055583318074,7.490209976832072,7.8112954298655195,8.152357021967571
8023_padded,2.4803303877512612,2.9309916496276855,3.2983535925547285,3.672648350397746,4.022799730300903,4.364915927251181,4.701546351114908,5.0540735721588135,5.405620177586874,5.8856383959452305,6.2924104531606035,6.674281040827434,7.200569947560628,7.547851800918579,7.891916990280151,8.259949048360188
351093_padded,2.495229959487915,2.9215408960978193,3.27817440032959,3.6873579025268555,4.029557943344116,4.382026990254721,4.747024695078532,5.137489000956218,5.485685030619304,5.809367020924887,6.155417124430338,6.525996843973795,7.099569082260132,7.47272245089213,7.853528261184692,8.202662547429403
54082_padded,2.3456170558929443,2.7107200622558594,3.0982184410095215,3.454819043477376,3.8983259201049805,4.290069818496704,4.658557732899983,4.996521631876628,5.340998808542888,5.688927412033081,6.029151042302449,6.400446812311808,6.742203871409098,7.098134835561116,7.4556104342142735,7.894212563832601
208001_padded,2.1337406635284424,2.482715368270874,2.8264940579732256,3.1802972952524824,3.514505386352539,3.862106959025065,4.185831149419149,4.538636604944864,4.8956232865651454,5.237963120142618,5.560096422831217,5.887948195139567,6.246297121047974,6.597699006398519,6.934560934702556,7.277049541473389
253027_padded,2.591915051142375,2.9425491491953535,3.2854154904683432,3.630784908930461,3.9517630736033125,4.325244426727295,4.6634446779886884,5.0039684772491455,5.3607869942983,5.723763465881348,6.103962341944377,6.454409201939901,6.774249315261841,7.110010147094727,7.461235443751017,7.818514982859293
33039_padded,2.4633265336354575,2.9444225629170737,3.5013223489125567,3.9327812989552813,4.45637591679891,4.8462155659993496,5.183565775553385,5.509868462880453,5.863119840621948,6.2206606070200605,6.554192701975505,6.922653357187907,7.273056348164876,7.643028974533081,8.050852060317993,8.415190696716309
16077_padded,2.5645904541015625,2.9142167568206787,3.3084162076314287,3.8368775844573975,4.185787916183472,4.534026304880777,4.878872632980347,5.238433202107747,5.595321734746297,6.003830830256144,6.338998079299927,6.683634281158447,7.036379019419352,7.398598353068033,7.7499754428863525,8.121600468953451
38082_padded,2.2849740982055664,2.645073970158895,3.0289867719014483,3.397289991378784,3.8250328699747724,4.180887778600058,4.51246722539266,4.878414710362753,5.280249834060669,5.641247113545736,5.997070233027141,6.384289820988973,6.760964711507161,7.126772880554199,7.502102692921956,7.871477206548055
119082_padded,2.538258949915568,2.9114542802174888,3.3314350446065264,3.7869815826416016,4.153467655181885,4.508210182189941,4.867446025212606,5.205534934997559,5.584399302800497,5.993510564168295,6.333905855814616,6.686100323994954,7.0234605471293134,7.384430011113484,7.721104224522908,8.064496278762817
376043_padded,2.5446152687072754,2.9783576329549155,3.351756016413371,3.7365203698476153,4.1411010424296055,4.496452967325846,4.8382972081502285,5.20313056310018,5.555421988169352,5.957902669906616,6.309740940729777,6.682933171590169,7.061541795730591,7.434343258539836,7.792059898376465,8.121725956598919
69020_padded,2.4763885339101157,2.8459118207295737,3.278379758199056,3.6527732213338218,4.02085280418396,4.454818487167358,4.8599661986033125,5.201448996861776,5.5569000244140625,5.9196923573811855,6.305836836496988,6.714472850163778,7.059769789377848,7.435597578684488,7.778916915257772,8.090221722920736
160068_padded,2.5101377169291177,2.862677256266276,3.261680682500203,3.7808237075805664,4.121117115020752,4.469954967498779,4.8508892854054775,5.2511297067006435,5.610153754552206,5.939742962519327,6.320916096369426,6.777674039204915,7.1461249987284345,7.498507420221965,7.844027201334636,8.193198760350544
385039_padded,2.3467048009236655,2.7628653049468994,3.1188600063323975,3.5007386207580566,3.838250557581584,4.204689105351766,4.552669048309326,4.908558924992879,5.2484925587972,5.647458791732788,5.998078505198161,6.385225931803386,6.755340099334717,7.193239688873291,7.558130582173666,8.047578573226929
19021_padded,2.4358103275299072,2.870900233586629,3.220054705937703,3.5743998686472573,3.939700921376546,4.300450325012207,4.6511177221933995,4.980036894480387,5.340203523635864,5.672591845194498,6.028557856877645,6.354212522506714,6.717537562052408,7.059580643971762,7.406569163004557,7.771353721618652
296007_padded,2.490600109100342,2.8788843154907227,3.224777142206828,3.560040871302287,3.9176910718282065,4.2398498853047695,4.5697715282440186,4.924359480539958,5.272739807764689,5.599141518274943,5.972782611846924,6.3333892822265625,6.75210165977478,7.0904699961344395,7.437115351359049,7.7697083950042725
102061_padded,2.3122874895731607,2.6821889877319336,3.000861326853434,3.3157408237457275,3.6809552510579424,4.130832195281982,4.470576365788777,4.801062345504761,5.1164140701293945,5.458691676457723,5.7994004885355634,6.158843517303467,6.486801703770955,6.83955160776774,7.269897699356079,7.604625066121419
304034_padded,3.1273439725240073,3.6026604970296225,4.077810049057007,4.661044200261434,5.202337026596069,5.692079305648804,6.032736698786417,6.4496382077535,6.8176163037618,7.162481784820557,7.505001147588094,7.886390129725139,8.334389686584473,8.695444981257122,9.064531167348225,9.410652716954548
145086_padded,2.3766724268595376,2.733287493387858,3.101794322331746,3.5982610384623213,3.950049877166748,4.287523825963339,4.619310537974039,4.930698871612549,5.2726240158081055,5.647316853205362,6.070188601811727,6.398446242014567,6.722441514333089,7.0494662920633955,7.397063732147217,7.733926773071289
148026_padded,2.293898582458496,2.647923787434896,3.0242261091868086,3.5197594165802,3.8486071427663164,4.193716128667196,4.554100195566813,4.953114668528238,5.382591644922892,5.8031669457753505,6.17509667078654,6.491833368937175,6.845278183619182,7.172893603642781,7.519469261169434,7.878358523050944
253055_padded,2.4269192218780518,2.7872958978017173,3.2395384311676025,3.632792154947917,4.010009050369263,4.414326349894206,4.772126833597819,5.143707116444906,5.503597577412924,5.88472580909729,6.203216473261515,6.557645003000895,6.923771540323893,7.274406671524048,7.614150762557983,7.939905802408854
223061_padded,2.4256261189778643,2.8078826268513994,3.177225351333618,3.55969230333964,3.901336590449015,4.330498059590657,4.7202212015787754,5.067265431086222,5.435325781504313,5.795503377914429,6.2256804307301845,6.611762841542562,6.971821705500284,7.379459540049234,7.834386587142944,8.231216748555502
157055_padded,2.4919450283050537,2.8613155682881675,3.3125014305114746,3.7862923940022783,4.137656132380167,4.534487167994181,4.964938481648764,5.2903618812561035,5.613949616750082,6.031012535095215,6.420315265655518,6.763505617777507,7.095701773961385,7.443876663843791,7.776660601298015,8.151202758153278
106024_padded,2.3117554982503257,2.655261834462484,3.0349749724070234,3.5358022054036455,3.894507884979248,4.217183351516724,4.545148611068726,4.885966062545776,5.207667589187622,5.567393700281778,6.024035771687825,6.400451421737671,6.7526774406433105,7.1083517869313555,7.4677426020304365,7.785827557245891
101085_padded,2.5755844910939536,2.944000244140625,3.3574990431467695,3.8005081812540693,4.1538214683532715,4.497422218322754,4.893922567367554,5.288820664087931,5.668547550837198,6.0376296043396,6.357216040293376,6.6814273198445635,7.013112227121989,7.368502298990886,7.710870107014974,8.059312740961712
260058_padded,2.843053181966146,3.218684673309326,3.569492022196452,3.9215535322825117,4.264531215031941,4.614521503448486,4.995752573013306,5.3580100536346436,5.698415676752726,6.042074203491211,6.3871543407440186,6.754567782084147,7.156628608703613,7.521631399790446,7.8602878252665205,8.219894965489704
41033_padded,2.6482112407684326,3.0432302157084146,3.5291353861490884,3.9657280445098877,4.303247769673665,4.654395580291748,4.972023804982503,5.295279423395792,5.648977915445963,6.006485780080159,6.3726130326588954,6.6963207721710205,7.0386457443237305,7.407387336095175,7.865698019663492,8.292396545410156
210088_padded,2.495797872543335,2.869414965311686,3.2558294137318926,3.6285221576690674,3.981291691462199,4.342697381973267,4.700314601262411,5.052833318710327,5.399694760640463,5.735596736272177,6.075455586115519,6.405969619750977,6.743350028991699,7.082518815994263,7.41177495320638,7.736604293187459
89072_padded,2.32972248395284,2.695950905481974,3.0480281511942544,3.402944246927897,3.836378177007039,4.2118016084035235,4.554625988006592,4.922821919123332,5.301498889923096,5.688913186391194,6.0819861094156895,6.412534395853678,6.754644950230916,7.139765421549479,7.591478188832601,7.953838109970093
42049_padded,2.341741402943929,2.714292128880819,3.0755985577901206,3.4184304078420005,3.8110281626383467,4.157976786295573,4.502229690551758,4.862655798594157,5.2014106909434,5.587878704071045,5.912763277689616,6.30222503344218,6.625798225402832,7.039893865585327,7.39044197400411,7.7754513422648115
101087_padded,2.357541084289551,2.7327075799306235,3.080752452214559,3.395667870839437,3.719778617223104,4.071640094121297,4.400350014368693,4.761918544769287,5.127500851949056,5.4445680777231855,5.816345850626628,6.177751143773397,6.568285544713339,6.938133001327515,7.34278146425883,7.696422020594279
361010_padded,2.865919431050618,3.245431582132975,3.6451862653096514,4.0091954072316485,4.407243808110555,4.727541128794352,5.092597484588623,5.472091595331827,5.821998278299967,6.219105958938599,6.618284384409586,7.036445379257202,7.36604348818461,7.714669624964396,8.094515085220337,8.530635197957357
108005_padded,2.4218204021453857,2.770528872807821,3.146741310755412,3.6743752161661787,4.04857873916626,4.384073972702026,4.788089354832968,5.145825942357382,5.495346466700235,5.918233315149942,6.264030297597249,6.606720765431722,6.956555922826131,7.286738634109497,7.6027781168619795,7.9523704051971436
175032_padded,2.695353349049886,3.085641781489054,3.453803936640422,3.824851195017497,4.198167006174724,4.559800148010254,4.931715726852417,5.273811181386312,5.618922551472982,6.066807985305786,6.4082473913828535,6.7537141640981035,7.1219611167907715,7.470796823501587,7.804102261861165,8.121054887771606
21077_padded,3.102877060572306,3.5604002475738525,3.9280952612559004,4.311403671900432,4.733254273732504,5.191994905471802,5.587576230367025,5.990278720855713,6.431097030639648,6.985754330952962,7.480595350265503,7.847661415735881,8.592316071192425,9.300829410552979,9.783039967219036,10.246825456619263
78004_padded,2.4155209859212237,2.8619518280029297,3.3040544191996255,3.689492623011271,4.065673033396402,4.461110989252726,4.874181747436523,5.281118472417195,5.631491502126058,5.98917277654012,6.345764795939127,6.810258070627848,7.1493524710337315,7.504087607065836,7.8356434504191075,8.177762587865194
108082_padded,2.4267239570617676,2.8010844389597573,3.2044124603271484,3.78126859664917,4.1709667046864825,4.622310241063436,4.9891462326049805,5.4091916879018145,5.761457840601603,6.202351808547974,6.544616858164469,6.902699788411459,7.269477526346842,7.626716216405233,7.97704561551412,8.377175092697144
41069_padded,2.4440638224283853,2.8063323497772217,3.126288572947184,3.4856979052225747,3.851620356241862,4.21146019299825,4.638204971949259,5.092752854029337,5.488181114196777,5.856253941853841,6.237961212793985,6.67431910832723,7.157313664754232,7.509686390558878,7.860398133595785,8.245794932047525
65033_padded,2.6003081003824873,2.9744869867960615,3.3115832805633545,3.670888980229696,3.9900230566660566,4.3006995519002285,4.664126078287761,4.989555835723877,5.33841347694397,5.684497356414795,6.044768412907919,6.472499767939249,6.827558279037476,7.181834618250528,7.533303499221802,7.884252548217773
97033_padded,2.5098675886789956,2.8906888167063394,3.2700006167093916,3.640478690465291,3.9945100148518877,4.395512104034424,4.737849156061808,5.101862033208212,5.435020764668783,5.8002465565999355,6.11497950553894,6.470791021982829,6.829376379648845,7.198897282282512,7.527946551640828,7.855967919031779
300091_padded,5.387222528457642,6.067244132359822,6.599207560221354,7.15829062461853,7.777462323506673,8.288270870844523,8.774239699045816,9.242471694946289,9.751866340637207,10.218009869257608,10.740953922271729,11.203279574712116,11.655367374420166,12.17589275042216,12.659053484598797,13.105964024861652
86016_padded,2.277282238006592,2.629512310028076,2.9711803595225015,3.3132239977518716,3.6746909618377686,4.016354004542033,4.445444107055664,4.7883842786153155,5.131721019744873,5.502781391143799,5.8392501672108965,6.218145052591959,6.618344704310099,6.9605491161346436,7.300737619400024,7.662922938664754
156065_padded,2.4699494043986,2.8308717409769693,3.3084930578867593,3.821337540944417,4.145159324010213,4.500920295715332,4.844849665959676,5.172863086064656,5.5174314975738525,5.942110697428385,6.298954168955484,6.6161134243011475,6.949806769688925,7.296299060185751,7.657623767852783,8.00049090385437
220075_padded,2.3908704121907554,2.7549569606781006,3.1129391193389893,3.512821992238363,3.8974041144053144,4.232738574345906,4.588265736897786,4.928943316141765,5.26539413134257,5.623302062352498,5.964996099472046,6.342142661412558,6.675760746002197,6.998842159907023,7.335139036178589,7.661904255549113
58060_padded,2.4727967580159507,2.847584327061971,3.211272319157918,3.5484161376953125,3.9241871039072675,4.3950153191884365,4.767374753952026,5.12168025970459,5.480340798695883,5.889476299285889,6.298278252283732,6.6301047801971436,6.989623626073201,7.355187018712361,7.73797607421875,8.103048245112102
134035_padded,2.482147852579753,2.8553909460703535,3.342743237813314,3.787580172220866,4.139364798863729,4.493277231852214,4.8259224096934,5.232354799906413,5.60664439201355,6.048281828562419,6.392132838567099,6.729169289271036,7.066309134165445,7.388124545415243,7.715375582377115,8.064676920572916
241048_padded,3.3245011965433755,3.8362809816996255,4.290298779805501,4.752337217330933,5.2286613782246905,5.742525339126587,6.139522552490234,6.510273138682047,6.904854695002237,7.277895450592041,7.8967712720235195,8.31713898976644,8.776522477467855,9.190228700637817,9.553450345993042,9.96719765663147
76053_padded,2.321302572886149,2.6447059313456216,3.0102981726328535,3.3585801124572754,3.674861192703247,4.002310355504354,4.3608527183532715,4.677578767140707,5.029986302057901,5.389733791351318,5.714974244435629,6.1199305057525635,6.440863529841105,6.80024528503418,7.131703694661458,7.47449787457784
306005_padded,3.126974105834961,3.5832491715749106,4.065164248148601,4.513499021530151,5.031591733296713,5.482978423436483,6.050376256306967,6.52118198076884,6.925390005111694,7.341676155726114,7.79915976524353,8.11827540397644,8.487784226735434,8.84448496500651,9.240862290064493,9.595468839009603
236037_padded,2.1509104569753013,2.493041753768921,2.83427095413208,3.1610552469889326,3.5049266815185547,3.8319568634033203,4.196219444274902,4.554674228032431,4.910542011260986,5.2650292714436855,5.608233690261841,5.9524720509847,6.28249470392863,6.628526449203491,6.981840213139852,7.320090929667155
219090_padded,2.3665778636932373,2.720182736714681,3.072660605112712,3.414939085642497,3.7886761029561358,4.127112944920858,4.466993888219198,4.815773169199625,5.15105684598287,5.494342565536499,5.82843804359436,6.1620010534922285,6.562146425247192,6.932533264160156,7.330504894256592,7.721710205078125
38092_padded,2.4781405925750732,2.8410632610321045,3.1913864612579346,3.5472389856974287,3.948977470397949,4.325421571731567,4.758238077163696,5.106425841649374,5.457715113957724,5.830048561096191,6.16117246945699,6.513019879659017,6.842797597249349,7.205151001612346,7.53304648399353,7.852710008621216
148089_padded,2.4571073849995932,2.825552463531494,3.2129619916280108,3.76572847366333,4.123933474222818,4.452730576197306,4.78499428431193,5.134395043055216,5.472386757532755,5.89537755648295,6.225034475326538,6.581371466318767,6.93007755279541,7.279345353444417,7.6300733884175616,7.989839951197307
12084_padded,2.4965476195017495,2.862461566925049,3.3204836050669355,3.7138287226359052,4.124735355377197,4.515209833780924,4.841192324956259,5.1830449899037685,5.5609207948048915,6.048386971155802,6.410236914952596,6.793720563252767,7.16803781191508,7.5132114092508955,7.906822840372722,8.259701093037922
163085_padded,2.4800446828206377,2.8344732920328775,3.2343522707621255,3.7538890838623047,4.098026593526204,4.455117464065552,4.763814767201741,5.091184218724568,5.449485619862874,5.937229871749878,6.353970925013224,6.6972157160441075,7.0041663646698,7.340647141138712,7.673104842503866,8.140885988871256
85048_padded,2.464230219523112,2.8681878248850503,3.31109078725179,3.7509928544362383,4.121405442555745,4.502990404764811,4.835756063461304,5.199148972829183,5.568550507227579,5.943852027257283,6.342911879221598,6.718914906183878,7.088720003763834,7.427370627721151,7.77466861406962,8.120291312535604
86068_padded,2.2392644087473554,2.556709448496501,2.925878445307414,3.296518961588542,3.6964343388875327,4.021305799484253,4.372609615325928,4.702351649602254,5.062633991241455,5.438388109207153,5.775226831436157,6.1149381796518965,6.500207344690959,6.898064533869426,7.2562761306762695,7.599302848180136
108070_padded,2.271201531092326,2.664305607477824,3.0123908519744873,3.5065722465515137,3.840464433034261,4.1818201541900635,4.502035935719808,4.811548153559367,5.130119403203328,5.478919744491577,5.908525307973226,6.2167824904123945,6.533185879389445,6.886120001475017,7.228475252787272,7.587238947550456
37073_padded,2.804096539815267,3.161924362182617,3.5211552778879804,3.934018691380819,4.406866947809855,4.82604201634725,5.2399758497873945,5.629393815994263,6.035682121912639,6.360221783320109,6.6851660410563145,7.042284568150839,7.404552062352499,7.72412371635437,8.072317123413086,8.480902751286825
