bpp,avg_psnr
0.12469991048177083,24.14769261159297
0.24939982096354166,26.654653541053552
0.3740997314453125,28.11140577411233
0.4987996419270833,29.319298966891537
0.6234995524088541,30.332408049189212
0.748199462890625,31.252573164081554
0.8728993733723958,32.04201033692583
0.9975992838541666,32.774298114725575
1.1222991943359375,33.43783761571374
1.2469991048177083,34.02901229475675
1.371699015299479,34.57577452049792
1.49639892578125,35.0830216084416
1.6210988362630208,35.54546934551496
1.7457987467447915,35.945673566276774
1.8704986572265625,36.29615889841854
1.9951985677083333,36.62271315118337
