image_name,iter,bpp,psnr
kodim22,1,0.12469991048177083,24.611300881961157
kodim22,2,0.24939982096354166,26.936653269608428
kodim22,3,0.3740997314453125,28.260967818036402
kodim22,4,0.4987996419270833,29.35701303385498
kodim22,5,0.6234995524088541,30.222988581206785
kodim22,6,0.748199462890625,31.043744875102426
kodim22,7,0.8728993733723958,31.731184671523213
kodim22,8,0.9975992838541666,32.38838827998456
kodim22,9,1.1222991943359375,32.978823642518144
kodim22,10,1.2469991048177083,33.5111848902894
kodim22,11,1.371699015299479,33.99590823237124
kodim22,12,1.49639892578125,34.44980078780787
kodim22,13,1.6210988362630208,34.85709121880535
kodim22,14,1.7457987467447915,35.231241148179116
kodim22,15,1.8704986572265625,35.55403474474899
kodim22,16,1.9951985677083333,35.86056496257355
kodim04,1,0.12470626831054688,26.245756924055968
kodim04,2,0.24941253662109375,28.778298454621208
kodim04,3,0.3741188049316406,30.17712093538039
kodim04,4,0.4988250732421875,31.341157141269743
kodim04,5,0.6235313415527344,32.25820766045979
kodim04,6,0.7482376098632812,33.10489568769536
kodim04,7,0.8729438781738281,33.82990105355824
kodim04,8,0.997650146484375,34.46634361518544
kodim04,9,1.1223564147949219,35.07406880667537
kodim04,10,1.2470626831054688,35.59799813413243
kodim04,11,1.3717689514160156,36.11023764376293
kodim04,12,1.4964752197265625,36.56221909298654
kodim04,13,1.6211814880371094,36.99725128404266
kodim04,14,1.7458877563476562,37.361703709914394
kodim04,15,1.8705940246582031,37.6814216436922
kodim04,16,1.99530029296875,37.98457982469591
kodim06,1,0.12353006998697917,22.90952595248821
kodim06,2,0.24706013997395834,25.004119273764665
kodim06,3,0.3705902099609375,26.282896763449813
kodim06,4,0.4941202799479167,27.42041612727956
kodim06,5,0.6176503499348959,28.4159450907108
kodim06,6,0.741180419921875,29.297181881885137
kodim06,7,0.8647104899088542,30.06240959247463
kodim06,8,0.9882405598958334,30.824900281486364
kodim06,9,1.1117706298828125,31.521465487746458
kodim06,10,1.2353006998697917,32.160521842790516
kodim06,11,1.358830769856771,32.79258782604936
kodim06,12,1.48236083984375,33.371654090691365
kodim06,13,1.6058909098307292,33.88750180804058
kodim06,14,1.7294209798177085,34.343183521375956
kodim06,15,1.8529510498046875,34.7654144977309
kodim06,16,1.9764811197916667,35.1361079135013
kodim05,1,0.12549463907877603,20.594895771297818
kodim05,2,0.25098927815755206,22.758852569780267
kodim05,3,0.3764839172363281,24.1976840161497
kodim05,4,0.5019785563151041,25.51063047488197
kodim05,5,0.6274731953938801,26.666093900152795
kodim05,6,0.7529678344726562,27.847632176345982
kodim05,7,0.8784624735514323,28.824742904504177
kodim05,8,1.0039571126302083,29.71065538218369
kodim05,9,1.1294517517089844,30.54663796588828
kodim05,10,1.2549463907877603,31.25949849453029
kodim05,11,1.3804410298665364,31.910706526007885
kodim05,12,1.5059356689453125,32.52037602441442
kodim05,13,1.6314303080240884,33.08250779013751
kodim05,14,1.7569249471028645,33.58389282752512
kodim05,15,1.8824195861816404,34.02491209920251
kodim05,16,2.0079142252604165,34.43645341295774
kodim02,1,0.12288792928059895,26.540378517867804
kodim02,2,0.2457758585611979,28.894821585503124
kodim02,3,0.3686637878417969,30.10816273432893
kodim02,4,0.4915517171223958,31.42294939973695
kodim02,5,0.6144396464029948,32.47146719715745
kodim02,6,0.7373275756835938,33.259967696465075
kodim02,7,0.8602155049641926,33.987075631434045
kodim02,8,0.9831034342447916,34.6325852186289
kodim02,9,1.1059913635253906,35.236528428917126
kodim02,10,1.2288792928059895,35.762407462557455
kodim02,11,1.3517672220865884,36.24507523063383
kodim02,12,1.4746551513671875,36.70310291568783
kodim02,13,1.5975430806477864,37.13348542595672
kodim02,14,1.7204310099283853,37.49435912544969
kodim02,15,1.8433189392089844,37.79385651452135
kodim02,16,1.9662068684895833,38.087039685826014
kodim01,1,0.12479527791341145,21.944619265578908
kodim01,2,0.2495905558268229,24.133073082185703
kodim01,3,0.3743858337402344,25.535759935503
kodim01,4,0.4991811116536458,26.522367081062917
kodim01,5,0.6239763895670573,27.29477717438462
kodim01,6,0.7487716674804688,28.062628532693687
kodim01,7,0.8735669453938801,28.73880772861773
kodim01,8,0.9983622233072916,29.42648284096988
kodim01,9,1.1231575012207031,30.06188503927758
kodim01,10,1.2479527791341145,30.640722389623352
kodim01,11,1.372748057047526,31.190641148687583
kodim01,12,1.4975433349609375,31.724988647748518
kodim01,13,1.6223386128743489,32.21690114496622
kodim01,14,1.7471338907877603,32.640683148588046
kodim01,15,1.8719291687011719,33.020105557444786
kodim01,16,1.9967244466145833,33.37686008164736
kodim07,1,0.1245282491048177,25.035019224487996
kodim07,2,0.2490564982096354,28.298155210384493
kodim07,3,0.3735847473144531,30.23174243003417
kodim07,4,0.4981129964192708,31.709111120002813
kodim07,5,0.6226412455240885,33.042459840940936
kodim07,6,0.7471694946289062,34.20757799354923
kodim07,7,0.8716977437337239,35.17430165920419
kodim07,8,0.9962259928385416,36.0261884593911
kodim07,9,1.1207542419433594,36.79414994816094
kodim07,10,1.245282491048177,37.454648794307566
kodim07,11,1.3698107401529946,38.02655435763407
kodim07,12,1.4943389892578125,38.566867357225576
kodim07,13,1.6188672383626301,39.05818949677669
kodim07,14,1.7433954874674478,39.48716908268001
kodim07,15,1.8679237365722656,39.85895376315681
kodim07,16,1.9924519856770833,40.19329825764358
kodim16,1,0.12412770589192708,26.44762925062464
kodim16,2,0.24825541178385416,28.41190658707109
kodim16,3,0.37238311767578125,29.644776505916425
kodim16,4,0.4965108235677083,30.909985461087853
kodim16,5,0.6206385294596354,32.068066262738704
kodim16,6,0.7447662353515625,32.94325287438913
kodim16,7,0.8688939412434895,33.73616717349235
kodim16,8,0.9930216471354166,34.49767826484425
kodim16,9,1.1171493530273438,35.168958979375645
kodim16,10,1.2412770589192708,35.790667012242736
kodim16,11,1.3654047648111978,36.37520783502217
kodim16,12,1.489532470703125,36.924980616155295
kodim16,13,1.613660176595052,37.412668038238635
kodim16,14,1.737787882486979,37.83850485625972
kodim16,15,1.8619155883789062,38.22776758787636
kodim16,16,1.9860432942708333,38.59549972883039
kodim20,1,0.11879348754882812,25.41208051854564
kodim20,2,0.23758697509765625,28.370749900373816
kodim20,3,0.3563804626464844,29.912594894151766
kodim20,4,0.4751739501953125,31.03227552597891
kodim20,5,0.5939674377441406,31.997106577731188
kodim20,6,0.7127609252929688,32.89018807315385
kodim20,7,0.8315544128417969,33.649934509251864
