lambda,avg_bpp,avg_psnr
16,0.17945442410806814,30.023022572199505
32,0.29676789914568263,31.98082486788432
64,0.4477948347727458,33.89135066668192
128,0.6695386879146099,36.112253189086914
256,0.9500240062673887,38.16628774007162
512,1.2828764642278354,40.26255098978678
1024,1.7443130413691204,42.24873193105062
2048,2.352304389079412,44.35484536488851
